properties{
  x = 0,
  y = 0,
  width = 416,
  height = 480,
  min_layer = 0,
  max_layer = 2,
  tileset = "overworld_yarrowmouth",
  music = "driftwood-2",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 416,
  height = 480,
  pattern = "1",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 416,
  height = 72,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 344,
  y = 64,
  width = 72,
  height = 416,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 416,
  width = 352,
  height = 64,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 352,
  width = 104,
  height = 128,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 272,
  width = 56,
  height = 80,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 176,
  width = 112,
  height = 112,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 112,
  width = 80,
  height = 64,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 0,
  y = 64,
  width = 128,
  height = 48,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 280,
  y = 72,
  width = 72,
  height = 56,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 304,
  y = 280,
  width = 40,
  height = 56,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 272,
  y = 272,
  width = 40,
  height = 48,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 264,
  y = 120,
  width = 48,
  height = 24,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 48,
  y = 280,
  width = 40,
  height = 40,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 136,
  y = 376,
  width = 64,
  height = 40,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 144,
  y = 352,
  width = 40,
  height = 24,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 128,
  y = 72,
  width = 40,
  height = 24,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 168,
  y = 72,
  width = 24,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 168,
  y = 80,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 128,
  y = 96,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 216,
  y = 72,
  width = 24,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 264,
  y = 72,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 272,
  y = 80,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 256,
  y = 136,
  width = 24,
  height = 16,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 272,
  y = 144,
  width = 16,
  height = 16,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 288,
  y = 144,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 312,
  y = 128,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 328,
  y = 208,
  width = 16,
  height = 24,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 336,
  y = 232,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 320,
  y = 216,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 272,
  y = 264,
  width = 24,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 264,
  y = 264,
  width = 8,
  height = 32,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 288,
  y = 320,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 320,
  y = 336,
  width = 40,
  height = 24,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 328,
  y = 360,
  width = 24,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 336,
  y = 368,
  width = 16,
  height = 16,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 200,
  y = 408,
  width = 24,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 200,
  y = 400,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 184,
  y = 368,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 152,
  y = 344,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 56,
  y = 344,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 56,
  y = 320,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 88,
  y = 288,
  width = 16,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 88,
  y = 296,
  width = 8,
  height = 8,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 112,
  y = 240,
  width = 8,
  height = 40,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 120,
  y = 248,
  width = 8,
  height = 16,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 112,
  y = 184,
  width = 8,
  height = 24,
  pattern = "4",
  tileset = "drygrass",
}

tile{
  layer = 0,
  x = 56,
  y = 160,
  width = 32,
  height = 16,
  pattern = "4",
