properties{
  x = 2080,
  y = 960,
  width = 416,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "oceanheart_outdoors_1",
  music = "fykonos",
}

tile{
  layer = 0,
  x = 96,
  y = 0,
  width = 320,
  height = 96,
  pattern = "77",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 80,
  width = 336,
  height = 128,
  pattern = "310",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 96,
  height = 120,
  pattern = "77",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 96,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 40,
  width = 96,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 48,
  width = 72,
  height = 16,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 72,
  width = 64,
  height = 40,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 64,
  width = 48,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 32,
  width = 40,
  height = 32,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 24,
  width = 40,
  height = 8,
  pattern = "80_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 24,
  width = 96,
  height = 8,
  pattern = "80_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 40,
  y = 32,
  width = 8,
  height = 24,
  pattern = "82_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 104,
  y = 32,
  width = 8,
  height = 32,
  pattern = "78_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 208,
  y = 32,
  width = 8,
  height = 8,
  pattern = "82_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 184,
  y = 48,
  width = 16,
  height = 8,
  pattern = "80_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 184,
  y = 48,
  width = 8,
  height = 16,
  pattern = "82_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 56,
  y = 64,
  width = 8,
  height = 8,
  pattern = "80_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 64,
  width = 72,
  height = 8,
  pattern = "80_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 64,
  y = 72,
  width = 8,
  height = 40,
  pattern = "82_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 112,
  width = 64,
  height = 8,
  pattern = "80_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = -8,
  y = 24,
  width = 8,
  height = 8,
  pattern = "79_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 40,
  y = 24,
  width = 8,
  height = 8,
  pattern = "81_3",
  tileset = "mykonos",
}

tile{
