properties{
  x = 0,
  y = 0,
  width = 832,
  height = 960,
  min_layer = 0,
  max_layer = 2,
  tileset = "indoors_stone",
  music = "wavesick-the-wavening",
}

tile{
  layer = 0,
  x = 496,
  y = 288,
  width = 256,
  height = 160,
  pattern = "3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 128,
  y = 64,
  width = 288,
  height = 128,
  pattern = "3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 16,
  height = 160,
  pattern = "7_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 192,
  width = 16,
  height = 16,
  pattern = "7_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 32,
  width = 16,
  height = 32,
  pattern = "7_8",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 192,
  width = 16,
  height = 16,
  pattern = "7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 112,
  y = 16,
  width = 16,
  height = 16,
  pattern = "7_5",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 16,
  width = 16,
  height = 16,
  pattern = "7_7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 128,
  y = 16,
  width = 288,
  height = 16,
  pattern = "7_6",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 128,
  y = 192,
  width = 48,
  height = 16,
  pattern = "7_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 128,
  y = 32,
  width = 288,
  height = 32,
  pattern = "5",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 112,
  width = 64,
  height = 32,
  pattern = "3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 160,
  width = 16,
  height = 32,
  pattern = "7_8",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 64,
  width = 16,
  height = 16,
  pattern = "7_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 80,
  width = 16,
  height = 32,
  pattern = "4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 432,
  y = 80,
  width = 16,
  height = 32,
  pattern = "5",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 64,
  width = 16,
  height = 16,
  pattern = "7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 80,
  width = 16,
  height = 32,
  pattern = "6",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 432,
  y = 64,
  width = 16,
  height = 16,
  pattern = "7_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 144,
  width = 16,
  height = 16,
  pattern = "7_7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 432,
  y = 144,
  width = 16,
  height = 16,
  pattern = "7_6",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 416,
  y = 144,
  width = 16,
  height = 16,
  pattern = "7_5",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 464,
  y = 64,
  width = 288,
  height = 128,
  pattern = "3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 32,
  width = 16,
  height = 32,
  pattern = "7_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 192,
  width = 16,
  height = 16,
  pattern = "7_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 752,
  y = 32,
  width = 16,
  height = 160,
  pattern = "7_8",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 752,
  y = 192,
  width = 16,
  height = 16,
  pattern = "7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 16,
  width = 16,
  height = 16,
  pattern = "7_5",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 752,
  y = 16,
  width = 16,
  height = 16,
  pattern = "7_7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 464,
  y = 16,
  width = 288,
  height = 16,
  pattern = "7_6",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 464,
  y = 192,
  width = 160,
  height = 16,
  pattern = "7_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 464,
  y = 32,
  width = 288,
  height = 32,
  pattern = "5",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 448,
  y = 160,
  width = 16,
  height = 32,
  pattern = "7_4",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 192,
  y = 192,
  width = 224,
  height = 16,
  pattern = "7_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 176,
  y = 208,
  width = 16,
  height = 16,
  pattern = "7_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 160,
  y = 208,
  width = 16,
  height = 16,
  pattern = "7_3",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 192,
  y = 208,
  width = 16,
  height = 16,
  pattern = "7",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 176,
  y = 192,
  width = 16,
  height = 16,
  pattern = "2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 128,
  y = 64,
  width = 40,
  height = 16,
  pattern = "165",
}

tile{
  layer = 0,
  x = 128,
  y = 80,
  width = 24,
  height = 16,
  pattern = "161",
}

tile{
  layer = 0,
  x = 400,
  y = 64,
  width = 16,
  height = 16,
  pattern = "157",
}

tile{
  layer = 0,
  x = 384,
  y = 64,
  width = 16,
  height = 16,
  pattern = "157",
}

tile{
  layer = 0,
  x = 368,
  y = 64,
  width = 16,
  height = 16,
  pattern = "157",
}

tile{
  layer = 0,
  x = 400,
  y = 56,
  width = 16,
  height = 8,
  pattern = "158",
}

tile{
  layer = 0,
  x = 384,
  y = 56,
  width = 16,
  height = 8,
  pattern = "158",
}

tile{
  layer = 0,
  x = 368,
  y = 56,
  width = 16,
  height = 8,
  pattern = "158",
}

tile{
  layer = 0,
  x = 392,
  y = 56,
  width = 16,
  height = 16,
  pattern = "157",
}

tile{
  layer = 0,
  x = 392,
  y = 48,
  width = 16,
  height = 8,
  pattern = "158",
}

tile{
  layer = 0,
  x = 376,
  y = 56,
  width = 16,
  height = 16,
  pattern = "157",
}

tile{
  layer = 0,
