properties{
  x = 0,
  y = 960,
  width = 832,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "overworld_oakhaven",
  music = "fykonos",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 832,
  height = 240,
  pattern = "77",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 576,
  y = 48,
  width = 80,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 576,
  y = 56,
  width = 72,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 576,
  y = 56,
  width = 40,
  height = 16,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 560,
  y = 72,
  width = 48,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 544,
  y = 72,
  width = 48,
  height = 16,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 520,
  y = 80,
  width = 48,
  height = 16,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 496,
  y = 80,
  width = 32,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 408,
  y = 32,
  width = 56,
  height = 48,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 384,
  y = 56,
  width = 24,
  height = 16,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 472,
  y = 192,
  width = 56,
  height = 16,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 488,
  y = 184,
  width = 40,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 512,
  y = 176,
  width = 16,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 456,
  y = 200,
  width = 16,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 272,
  y = 200,
  width = 64,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 272,
  y = 192,
  width = 48,
  height = 8,
  pattern = "77_2",
  tileset = "mykonos",
}

tile{
  layer = 0,
  x = 272,
  y = 176,
  width = 24,
  height = 16,
  pattern = "77_2",
