properties{
  x = 0,
  y = 0,
  width = 640,
  height = 480,
  min_layer = 0,
  max_layer = 2,
  tileset = "cave_2",
  music = "oak_hornpipe",
}

tile{
  layer = 0,
  x = 48,
  y = 272,
  width = 32,
  height = 32,
  pattern = "corner.in.4",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 272,
  width = 32,
  height = 32,
  pattern = "corner.in.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 80,
  y = 272,
  width = 16,
  height = 32,
  pattern = "wall.up.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 416,
  width = 32,
  height = 32,
  pattern = "corner.in.3",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 80,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 96,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 128,
  y = 240,
  width = 16,
  height = 32,
  pattern = "wall.up.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 112,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 128,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 160,
  y = 240,
  width = 16,
  height = 32,
  pattern = "wall.up.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 144,
  y = 240,
  width = 16,
  height = 32,
  pattern = "wall.up.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 144,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 160,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 192,
  y = 240,
  width = 16,
  height = 32,
  pattern = "wall.up.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 176,
  y = 240,
  width = 16,
  height = 32,
  pattern = "wall.up.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 176,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 192,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 208,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 224,
  y = 416,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 416,
  width = 32,
  height = 32,
  pattern = "corner.in.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 96,
  y = 272,
  width = 32,
  height = 32,
  pattern = "corner.out.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 208,
  y = 272,
  width = 32,
  height = 32,
  pattern = "corner.out.3",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 208,
  y = 240,
  width = 32,
  height = 32,
  pattern = "corner.in.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 96,
  y = 240,
  width = 32,
  height = 32,
  pattern = "corner.in.4",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 320,
  width = 32,
  height = 16,
  pattern = "wall.right.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 304,
  width = 32,
  height = 16,
  pattern = "wall.right.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 304,
  width = 32,
  height = 16,
  pattern = "wall.left.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 320,
  width = 32,
  height = 16,
  pattern = "wall.left.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 352,
  width = 32,
  height = 16,
  pattern = "wall.right.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 336,
  width = 32,
  height = 16,
  pattern = "wall.right.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 336,
  width = 32,
  height = 16,
  pattern = "wall.left.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 352,
  width = 32,
  height = 16,
  pattern = "wall.left.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 384,
  width = 32,
  height = 16,
  pattern = "wall.right.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 368,
  width = 32,
  height = 16,
  pattern = "wall.right.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 368,
  width = 32,
  height = 16,
  pattern = "wall.left.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 384,
  width = 32,
  height = 16,
  pattern = "wall.left.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 240,
  y = 400,
  width = 32,
  height = 16,
  pattern = "wall.right.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 48,
  y = 400,
  width = 32,
  height = 16,
  pattern = "wall.left.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 128,
  y = 272,
  width = 80,
  height = 32,
  pattern = "ground1.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 80,
  y = 304,
  width = 160,
  height = 112,
  pattern = "ground1.1",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 144,
  y = 272,
  width = 16,
  height = 16,
  pattern = "ground1.3",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 128,
  y = 272,
  width = 16,
  height = 16,
  pattern = "ground1.2",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 208,
  y = 304,
  width = 16,
  height = 16,
  pattern = "ground1.3",
  tileset = "indoors_stone",
}

tile{
  layer = 0,
  x = 192,
