properties{
  x = 0,
  y = 0,
  width = 640,
  height = 960,
  min_layer = 0,
  max_layer = 2,
  tileset = "overworld_oakhaven",
  music = "forest_town",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 640,
  height = 960,
  pattern = "204",
}

tile{
  layer = 0,
  x = 248,
  y = 368,
  width = 72,
  height = 32,
  pattern = "79",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 272,
  y = 392,
  width = 56,
  height = 24,
  pattern = "79",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 296,
  y = 408,
  width = 56,
  height = 24,
  pattern = "79",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 320,
  y = 424,
  width = 56,
  height = 40,
  pattern = "79",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 344,
  y = 448,
  width = 72,
  height = 32,
  pattern = "79",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 360,
  y = 472,
  width = 40,
  height = 16,
  pattern = "79",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 248,
  y = 360,
  width = 72,
  height = 8,
  pattern = "76",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 240,
  y = 368,
  width = 8,
  height = 32,
  pattern = "78",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 320,
  y = 368,
  width = 8,
  height = 16,
  pattern = "80",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 328,
  y = 392,
  width = 8,
  height = 8,
  pattern = "80",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 248,
  y = 400,
  width = 16,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 336,
  y = 400,
  width = 16,
  height = 8,
  pattern = "76",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 264,
  y = 408,
  width = 8,
  height = 8,
  pattern = "78",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 352,
  y = 408,
  width = 8,
  height = 8,
  pattern = "80",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 272,
  y = 416,
  width = 16,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 360,
  y = 416,
  width = 16,
  height = 8,
  pattern = "76",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 288,
  y = 424,
  width = 8,
  height = 8,
  pattern = "78",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 376,
  y = 424,
  width = 8,
  height = 16,
  pattern = "80",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 296,
  y = 432,
  width = 16,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 312,
  y = 440,
  width = 8,
  height = 24,
  pattern = "78",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 384,
  y = 440,
  width = 32,
  height = 8,
  pattern = "76",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 416,
  y = 448,
  width = 8,
  height = 32,
  pattern = "80",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 320,
  y = 464,
  width = 16,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 336,
  y = 472,
  width = 8,
  height = 8,
  pattern = "78",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 344,
  y = 480,
  width = 8,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 408,
  y = 480,
  width = 8,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 360,
  y = 488,
  width = 40,
  height = 8,
  pattern = "82",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 240,
  y = 360,
  width = 8,
  height = 8,
  pattern = "75",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 320,
  y = 360,
  width = 8,
  height = 8,
  pattern = "77",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 320,
  y = 384,
  width = 8,
  height = 8,
  pattern = "84",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 328,
  y = 384,
  width = 8,
  height = 8,
  pattern = "77",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 240,
  y = 400,
  width = 8,
  height = 8,
  pattern = "83",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 264,
  y = 400,
  width = 8,
  height = 8,
  pattern = "86",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 328,
  y = 400,
  width = 8,
  height = 8,
  pattern = "84",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 352,
  y = 400,
  width = 8,
  height = 8,
  pattern = "77",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 264,
  y = 416,
  width = 8,
  height = 8,
  pattern = "83",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 288,
  y = 416,
  width = 8,
  height = 8,
  pattern = "86",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 352,
  y = 416,
  width = 8,
  height = 8,
  pattern = "84",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 376,
  y = 416,
  width = 8,
  height = 8,
  pattern = "77",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 288,
  y = 432,
  width = 8,
  height = 8,
  pattern = "83",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 312,
  y = 432,
  width = 8,
  height = 8,
  pattern = "86",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 376,
  y = 440,
  width = 8,
  height = 8,
  pattern = "84",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 416,
  y = 440,
  width = 8,
  height = 8,
  pattern = "77",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 312,
  y = 464,
  width = 8,
  height = 8,
  pattern = "83",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 336,
  y = 464,
  width = 8,
  height = 8,
  pattern = "86",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 336,
  y = 480,
  width = 8,
  height = 8,
  pattern = "83",
  tileset = "spruce_head",
}

tile{
  layer = 0,
  x = 352,
  y = 480,
